City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2021-12-02 04:03:45,-34.4187,19.2345,57.9,76,65,7.34
68,Tasiilaq,GL,2021-12-02 04:03:45,65.6145,-37.6368,25.81,90,100,32.46
69,Nouadhibou,MR,2021-12-02 04:03:46,20.931,-17.0347,66.11,46,72,21.16
70,Dongsheng,CN,2021-12-02 04:03:47,39.8161,109.9776,28.42,37,0,21.7
71,Mount Isa,AU,2021-12-02 04:00:40,-20.7333,139.5,101.97,14,0,12.66
72,Shingu,JP,2021-12-02 04:03:49,33.7333,135.9833,53.26,45,0,5.26
73,Georgetown,MY,2021-12-02 04:00:17,5.4112,100.3354,78.89,89,40,5.75
74,Geraldton,AU,2021-12-02 04:03:51,-28.7667,114.6,75.61,50,1,23.02
75,Port Elizabeth,ZA,2021-12-02 04:03:51,-33.918,25.5701,66.09,86,96,17.52
76,Bocas Del Toro,PA,2021-12-02 04:03:52,9.3333,-82.25,75.81,79,98,4.18
77,Faanui,PF,2021-12-02 04:03:52,-16.4833,-151.75,79.66,76,100,13.02
78,Dandong,CN,2021-12-02 04:00:24,40.1292,124.3947,42.84,50,2,15.43
79,Turukhansk,RU,2021-12-02 04:03:53,65.8167,87.9833,-3.48,89,91,12.01
80,Kainantu,PG,2021-12-02 04:03:54,-6.2887,145.8655,80.11,47,61,5.68
81,La Ronge,CA,2021-12-02 04:03:56,55.1001,-105.2842,10.98,95,99,1.88
82,Itarema,BR,2021-12-02 04:03:58,-2.9248,-39.9167,79.83,79,92,11.83
83,Suntar,RU,2021-12-02 04:04:00,62.1444,117.6319,-13.49,92,100,3.56
84,Abu Kamal,SY,2021-12-02 04:04:01,34.4506,40.9171,57.38,54,92,12.53
85,Tiksi,RU,2021-12-02 04:04:04,71.6872,128.8694,-29.15,100,78,4.05
86,North Platte,US,2021-12-02 04:04:06,41.1239,-100.7654,52.32,54,1,7.0
87,Bredasdorp,ZA,2021-12-02 04:04:08,-34.5322,20.0403,52.29,69,80,8.66
88,Victoria,HK,2021-12-02 04:00:41,22.2855,114.1577,68.25,37,11,3.0
89,East London,ZA,2021-12-02 04:04:10,-33.0153,27.9116,67.14,94,90,8.05
90,Murray Bridge,AU,2021-12-02 04:04:11,-35.1167,139.2667,84.83,55,12,19.66
91,Waipawa,NZ,2021-12-02 04:04:13,-41.4122,175.5153,65.3,64,94,13.47
92,Tral,IN,2021-12-02 04:02:13,33.9333,75.1,46.83,28,39,0.65
93,Samarai,PG,2021-12-02 04:04:17,-10.6167,150.6667,86.54,72,100,13.53
94,New Norfolk,AU,2021-12-02 04:04:18,-42.7826,147.0587,74.91,53,86,5.1
95,Praia,CV,2021-12-02 04:04:18,14.9215,-23.5087,73.94,73,75,17.27
96,Raga,SS,2021-12-02 04:04:19,8.4596,25.678,72.79,51,19,3.04
97,Sorland,NO,2021-12-02 04:04:19,67.667,12.6934,35.98,53,100,35.99
